Replicate,Species,Exposure period,Total number of fruit,Number of eggs per fruit,Total number of inoculated eggs,Total number of live insects,Mortality,% survivors,% survivors in control,% Corrected mortality
1,B. dorsalis,0,30,44,1320,615,53%,47%,47%,0%
1,B. dorsalis,1,30,44,1320,302,77%,23%,47%,51%
1,B. dorsalis,2,30,44,1320,169,87%,13%,47%,73%
1,B. dorsalis,4,30,44,1320,241,82%,18%,47%,61%
1,B. dorsalis,6,30,44,1320,116,91%,9%,47%,81%
1,B. dorsalis,8,29,44,1276,14,99%,1%,47%,98%
1,B. dorsalis,10,30,44,1320,13,99%,1%,47%,98%
1,B. dorsalis,12,30,44,1320,2,100%,0%,47%,100%
1,B. dorsalis,14,30,44,1320,0,100%,0%,47%,100%
1,B. dorsalis,16,29,44,1276,0,100%,0%,47%,100%
1,B. dorsalis,18,30,44,1320,0,100%,0%,47%,100%
1,C. capitata,0,30,44,1320,679,49%,51%,51%,0%
1,C. capitata,1,30,44,1320,387,71%,29%,51%,43%
1,C. capitata,2,30,44,1320,332,75%,25%,51%,51%
1,C. capitata,4,30,44,1320,352,73%,27%,51%,48%
1,C. capitata,6,30,44,1320,177,87%,13%,51%,74%
1,C. capitata,8,30,44,1320,88,93%,7%,51%,87%
1,C. capitata,10,30,44,1320,21,98%,2%,51%,97%
1,C. capitata,12,30,44,1320,1,100%,0%,51%,100%
1,C. capitata,14,30,44,1320,0,100%,0%,51%,100%
1,C. capitata,16,30,44,1320,0,100%,0%,51%,100%
1,C. capitata,18,30,44,1320,0,100%,0%,51%,100%
1,C. rosa,0,30,42,1260,353,72%,28%,28%,0%
1,C. rosa,1,27,42,1134,151,87%,13%,28%,52%
1,C. rosa,2,26,42,1092,113,90%,10%,28%,63%
1,C. rosa,4,28,42,1176,61,95%,5%,28%,81%
1,C. rosa,6,29,42,1218,28,98%,2%,28%,92%
1,C. rosa,8,29,42,1218,2,100%,0%,28%,99%
1,C. rosa,10,29,42,1218,0,100%,0%,28%,100%
1,C. rosa,12,30,42,1260,0,100%,0%,28%,100%
1,C. rosa,14,29,42,1218,0,100%,0%,28%,100%
1,C. rosa,16,26,42,1092,0,100%,0%,28%,100%
1,C. rosa,18,30,42,1260,0,100%,0%,28%,100%
2,B. dorsalis,0,30,46,1380,477,65%,35%,35%,0%
